Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,Unnamed: 52,Year,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!No schooling completed,Margin of Error!!Total:!!No schooling completed,Estimate!!Total:!!Nursery school,Margin of Error!!Total:!!Nursery school,Estimate!!Total:!!Kindergarten,Margin of Error!!Total:!!Kindergarten,Estimate!!Total:!!1st grade,Margin of Error!!Total:!!1st grade,Estimate!!Total:!!2nd grade,Margin of Error!!Total:!!2nd grade,Estimate!!Total:!!3rd grade,Margin of Error!!Total:!!3rd grade,Estimate!!Total:!!4th grade,Margin of Error!!Total:!!4th grade,Estimate!!Total:!!5th grade,Margin of Error!!Total:!!5th grade,Estimate!!Total:!!6th grade,Margin of Error!!Total:!!6th grade,Estimate!!Total:!!7th grade,Margin of Error!!Total:!!7th grade,Estimate!!Total:!!8th grade,Margin of Error!!Total:!!8th grade,Estimate!!Total:!!9th grade,Margin of Error!!Total:!!9th grade,Estimate!!Total:!!10th grade,Margin of Error!!Total:!!10th grade,Estimate!!Total:!!11th grade,Margin of Error!!Total:!!11th grade,"Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma",Estimate!!Total:!!Regular high school diploma,Margin of Error!!Total:!!Regular high school diploma,Estimate!!Total:!!GED or alternative credential,Margin of Error!!Total:!!GED or alternative credential,"Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Associate's degree,Margin of Error!!Total:!!Associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Master's degree,Margin of Error!!Total:!!Master's degree,Estimate!!Total:!!Professional school degree,Margin of Error!!Total:!!Professional school degree,Estimate!!Total:!!Doctorate degree,Margin of Error!!Total:!!Doctorate degree
0100000US,UNITED STATES,209056129.0,15007.0,2886666.0,24888.0,28612.0,1145.0,38463.0,1364.0,140352.0,3196.0,316010.0,5938.0,656325.0,8263.0,516574.0,7228.0,728363.0,9136.0,2768475.0,25691.0,1054643.0,11435.0,3059196.0,24431.0,3555052.0,25935.0,4264386.0,29984.0,4813043.0,37015.0,3761588.0,28826.0,50169338.0,186836.0,8271262.0,25297.0,13102493.0,92470.0,31139065.0,100802.0,16580076.0,40664.0,38184668.0,128746.0,16246947.0,100955.0,4088689.0,30608.0,2685843.0,17096.0,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,225152317.0,10705.0,3698055.0,26678.0,54675.0,2031.0,57497.0,2257.0,116027.0,3256.0,235952.0,5684.0,509432.0,9336.0,377973.0,7562.0,584836.0,10940.0,2160554.0,30551.0,757561.0,11805.0,2240945.0,24759.0,2892900.0,33671.0,3320894.0,31662.0,3819522.0,37621.0,4223533.0,27438.0,50771548.0,235842.0,8864838.0,31378.0,14234077.0,90031.0,30807954.0,112386.0,19614710.0,49800.0,46354331.0,163196.0,21041939.0,131077.0,5012868.0,35615.0,3399696.0,31363.0
0100000US,UNITED STATES,206587852.0,15585.0,2777675.0,22387.0,25715.0,1187.0,38141.0,1485.0,142248.0,3348.0,319316.0,5536.0,659937.0,9439.0,535630.0,7900.0,744085.0,9463.0,2797578.0,25075.0,1090463.0,11695.0,3142017.0,23021.0,3604685.0,27647.0,4388244.0,31164.0,4913531.0,35503.0,3708456.0,27915.0,49936039.0,175559.0,8148426.0,25599.0,13017187.0,87288.0,30879546.0,100345.0,16135795.0,39664.0,37286246.0,131487.0,15684666.0,98075.0,4034386.0,29008.0,2577840.0,16161.0,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,222836834.0,11173.0,3458232.0,26109.0,52408.0,1875.0,55275.0,2257.0,119109.0,3462.0,251469.0,5720.0,538775.0,10347.0,402754.0,7750.0,603043.0,9898.0,2267766.0,27352.0,800880.0,10672.0,2373319.0,24401.0,3034143.0,31873.0,3496890.0,30623.0,3986965.0,35867.0,4121652.0,27235.0,50626888.0,222997.0,8794531.0,28863.0,14070727.0,89970.0,31171435.0,106752.0,19254254.0,47639.0,45034610.0,151306.0,20210271.0,124407.0,4863846.0,31733.0,3247592.0,29515.0
0100000US,UNITED STATES,204336017.0,15340.0,2673395.0,18851.0,23477.0,1190.0,38399.0,1552.0,145745.0,3652.0,318365.0,5824.0,670157.0,8303.0,548838.0,7454.0,761051.0,10195.0,2829818.0,26049.0,1119030.0,12134.0,3230578.0,24326.0,3638277.0,27497.0,4519562.0,30819.0,5004410.0,36259.0,3658717.0,24980.0,49682646.0,168790.0,8024206.0,18697.0,12948129.0,85940.0,30560186.0,84343.0,15736009.0,37747.0,36529875.0,132111.0,15189414.0,90826.0,3999547.0,29487.0,2486186.0,15638.0,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,211462522.0,16135.0,2974448.0,26261.0,31145.0,1463.0,40884.0,1476.0,139596.0,3475.0,313196.0,5965.0,640482.0,7996.0,507535.0,7402.0,720986.0,9121.0,2730560.0,28289.0,1028158.0,11344.0,2966879.0,22310.0,3496585.0,28342.0,4146662.0,30161.0,4698030.0,35309.0,3793948.0,28199.0,50312180.0,188648.0,8410348.0,25812.0,13213626.0,90283.0,31315535.0,106084.0,17029467.0,40247.0,39166047.0,136480.0,16840909.0,105252.0,4161080.0,31113.0,2784236.0,17930.0,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,226600992.0,11240.0,3965785.0,26988.0,56844.0,2118.0,59090.0,2140.0,113258.0,3283.0,229132.0,6176.0,488062.0,9439.0,359673.0,7260.0,564969.0,10391.0,2056404.0,28654.0,711589.0,11746.0,2137975.0,25887.0,2760915.0,33594.0,3159280.0,33002.0,3635598.0,38108.0,4301124.0,26701.0,50818442.0,243312.0,8923383.0,28521.0,14429395.0,90120.0,30262995.0,114988.0,19815732.0,48186.0,47391673.0,175843.0,21693046.0,135801.0,5119987.0,34220.0,3546641.0,31064.0
0100000US,UNITED STATES,216271644.0,15647.0,3121238.0,28966.0,39751.0,1596.0,46579.0,1587.0,133764.0,3466.0,292749.0,6004.0,620670.0,9992.0,476892.0,8753.0,681373.0,9407.0,2622794.0,31889.0,950430.0,12017.0,2773314.0,26024.0,3394121.0,33207.0,3936071.0,31698.0,4467173.0,38533.0,3880195.0,31342.0,50496716.0,226019.0,8596896.0,26536.0,13442760.0,103690.0,31493074.0,112153.0,17917481.0,47238.0,41377068.0,151706.0,18154808.0,114880.0,4393328.0,30861.0,2962399.0,23063.0,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,218446071.0,16291.0,3161132.0,31676.0,42859.0,1459.0,47837.0,1736.0,131424.0,3500.0,280013.0,5783.0,601535.0,9529.0,460116.0,7787.0,671365.0,10786.0,2543691.0,32159.0,913555.0,11912.0,2668048.0,26306.0,3321264.0,35934.0,3838673.0,35689.0,4354484.0,40271.0,3912061.0,32683.0,50616582.0,229293.0,8648726.0,27785.0,13594943.0,104429.0,31432389.0,110706.0,18338323.0,52953.0,42470927.0,154580.0,18810511.0,118279.0,4538402.0,31887.0,3047211.0,25436.0,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,213649147.0,15761.0,3042019.0,29431.0,35164.0,1322.0,44216.0,1473.0,136695.0,3564.0,304108.0,6164.0,631527.0,9809.0,490720.0,7305.0,697431.0,9499.0,2674653.0,28751.0,987357.0,11772.0,2870023.0,25523.0,3444953.0,30177.0,4043744.0,31610.0,4584550.0,37906.0,3831220.0,28893.0,50290291.0,200238.0,8530120.0,27048.0,13349169.0,94605.0,31423676.0,105818.0,17469724.0,41879.0,40189920.0,142140.0,17450194.0,106455.0,4264966.0,29785.0,2862707.0,21365.0,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100000US,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,220622076.0,17615.0,3207385.0,35675.0,45255.0,1639.0,49948.0,1699.0,129453.0,3778.0,270970.0,6016.0,581732.0,10271.0,442064.0,8105.0,648147.0,10658.0,2477446.0,34099.0,875757.0,12640.0,2556133.0,26967.0,3253918.0,37746.0,3724846.0,35605.0,4232307.0,40605.0,3976900.0,34085.0,50745827.0,249893.0,8726921.0,28176.0,13721144.0,112593.0,31323554.0,113993.0,18712207.0,48621.0,43646104.0,167232.0,19454174.0,123775.0,4681075.0,33791.0,3138809.0,27166.0
0100000US,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,228434661.0,11047.0,4236697.0,29101.0,58828.0,2119.0,62099.0,2161.0,108907.0,3273.0,223717.0,5531.0,463537.0,9567.0,341600.0,6616.0,539687.0,10202.0,1991980.0,29708.0,672461.0,11578.0,2032876.0,27200.0,2639946.0,35509.0,2998823.0,32181.0,3468197.0,39204.0,4390862.0,26586.0,50834792.0,253961.0,9001697.0,28521.0,14571311.0,85718.0,29783085.0,111788.0,20059257.0,45145.0,48591540.0,191458.0,22436592.0,148068.0,5226273.0,36858.0,3699897.0,34282.0
