GEO_ID,NAME,B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,Unnamed: 52,Year
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,014
0100000US,United States,209056129,15007,2886666,24888,28612,1145,38463,1364,140352,3196,316010,5938,656325,8263,516574,7228,728363,9136,2768475,25691,1054643,11435,3059196,24431,3555052,25935,4264386,29984,4813043,37015,3761588,28826,50169338,186836,8271262,25297,13102493,92470,31139065,100802,16580076,40664,38184668,128746,16246947,100955,4088689,30608,2685843,17096,,014
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!No schooling completed,Margin of Error!!Total:!!No schooling completed,Estimate!!Total:!!Nursery school,Margin of Error!!Total:!!Nursery school,Estimate!!Total:!!Kindergarten,Margin of Error!!Total:!!Kindergarten,Estimate!!Total:!!1st grade,Margin of Error!!Total:!!1st grade,Estimate!!Total:!!2nd grade,Margin of Error!!Total:!!2nd grade,Estimate!!Total:!!3rd grade,Margin of Error!!Total:!!3rd grade,Estimate!!Total:!!4th grade,Margin of Error!!Total:!!4th grade,Estimate!!Total:!!5th grade,Margin of Error!!Total:!!5th grade,Estimate!!Total:!!6th grade,Margin of Error!!Total:!!6th grade,Estimate!!Total:!!7th grade,Margin of Error!!Total:!!7th grade,Estimate!!Total:!!8th grade,Margin of Error!!Total:!!8th grade,Estimate!!Total:!!9th grade,Margin of Error!!Total:!!9th grade,Estimate!!Total:!!10th grade,Margin of Error!!Total:!!10th grade,Estimate!!Total:!!11th grade,Margin of Error!!Total:!!11th grade,"Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma",Estimate!!Total:!!Regular high school diploma,Margin of Error!!Total:!!Regular high school diploma,Estimate!!Total:!!GED or alternative credential,Margin of Error!!Total:!!GED or alternative credential,"Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Associate's degree,Margin of Error!!Total:!!Associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Master's degree,Margin of Error!!Total:!!Master's degree,Estimate!!Total:!!Professional school degree,Margin of Error!!Total:!!Professional school degree,Estimate!!Total:!!Doctorate degree,Margin of Error!!Total:!!Doctorate degree,,021
0100000US,United States,225152317,10705,3698055,26678,54675,2031,57497,2257,116027,3256,235952,5684,509432,9336,377973,7562,584836,10940,2160554,30551,757561,11805,2240945,24759,2892900,33671,3320894,31662,3819522,37621,4223533,27438,50771548,235842,8864838,31378,14234077,90031,30807954,112386,19614710,49800,46354331,163196,21041939,131077,5012868,35615,3399696,31363,,021
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,013
0100000US,United States,206587852,15585,2777675,22387,25715,1187,38141,1485,142248,3348,319316,5536,659937,9439,535630,7900,744085,9463,2797578,25075,1090463,11695,3142017,23021,3604685,27647,4388244,31164,4913531,35503,3708456,27915,49936039,175559,8148426,25599,13017187,87288,30879546,100345,16135795,39664,37286246,131487,15684666,98075,4034386,29008,2577840,16161,,013
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!No schooling completed,Margin of Error!!Total:!!No schooling completed,Estimate!!Total:!!Nursery school,Margin of Error!!Total:!!Nursery school,Estimate!!Total:!!Kindergarten,Margin of Error!!Total:!!Kindergarten,Estimate!!Total:!!1st grade,Margin of Error!!Total:!!1st grade,Estimate!!Total:!!2nd grade,Margin of Error!!Total:!!2nd grade,Estimate!!Total:!!3rd grade,Margin of Error!!Total:!!3rd grade,Estimate!!Total:!!4th grade,Margin of Error!!Total:!!4th grade,Estimate!!Total:!!5th grade,Margin of Error!!Total:!!5th grade,Estimate!!Total:!!6th grade,Margin of Error!!Total:!!6th grade,Estimate!!Total:!!7th grade,Margin of Error!!Total:!!7th grade,Estimate!!Total:!!8th grade,Margin of Error!!Total:!!8th grade,Estimate!!Total:!!9th grade,Margin of Error!!Total:!!9th grade,Estimate!!Total:!!10th grade,Margin of Error!!Total:!!10th grade,Estimate!!Total:!!11th grade,Margin of Error!!Total:!!11th grade,"Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma",Estimate!!Total:!!Regular high school diploma,Margin of Error!!Total:!!Regular high school diploma,Estimate!!Total:!!GED or alternative credential,Margin of Error!!Total:!!GED or alternative credential,"Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Associate's degree,Margin of Error!!Total:!!Associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Master's degree,Margin of Error!!Total:!!Master's degree,Estimate!!Total:!!Professional school degree,Margin of Error!!Total:!!Professional school degree,Estimate!!Total:!!Doctorate degree,Margin of Error!!Total:!!Doctorate degree,,020
0100000US,United States,222836834,11173,3458232,26109,52408,1875,55275,2257,119109,3462,251469,5720,538775,10347,402754,7750,603043,9898,2267766,27352,800880,10672,2373319,24401,3034143,31873,3496890,30623,3986965,35867,4121652,27235,50626888,222997,8794531,28863,14070727,89970,31171435,106752,19254254,47639,45034610,151306,20210271,124407,4863846,31733,3247592,29515,,020
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,012
0100000US,United States,204336017,15340,2673395,18851,23477,1190,38399,1552,145745,3652,318365,5824,670157,8303,548838,7454,761051,10195,2829818,26049,1119030,12134,3230578,24326,3638277,27497,4519562,30819,5004410,36259,3658717,24980,49682646,168790,8024206,18697,12948129,85940,30560186,84343,15736009,37747,36529875,132111,15189414,90826,3999547,29487,2486186,15638,,012
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,015
0100000US,United States,211462522,16135,2974448,26261,31145,1463,40884,1476,139596,3475,313196,5965,640482,7996,507535,7402,720986,9121,2730560,28289,1028158,11344,2966879,22310,3496585,28342,4146662,30161,4698030,35309,3793948,28199,50312180,188648,8410348,25812,13213626,90283,31315535,106084,17029467,40247,39166047,136480,16840909,105252,4161080,31113,2784236,17930,,015
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!No schooling completed,Margin of Error!!Total:!!No schooling completed,Estimate!!Total:!!Nursery school,Margin of Error!!Total:!!Nursery school,Estimate!!Total:!!Kindergarten,Margin of Error!!Total:!!Kindergarten,Estimate!!Total:!!1st grade,Margin of Error!!Total:!!1st grade,Estimate!!Total:!!2nd grade,Margin of Error!!Total:!!2nd grade,Estimate!!Total:!!3rd grade,Margin of Error!!Total:!!3rd grade,Estimate!!Total:!!4th grade,Margin of Error!!Total:!!4th grade,Estimate!!Total:!!5th grade,Margin of Error!!Total:!!5th grade,Estimate!!Total:!!6th grade,Margin of Error!!Total:!!6th grade,Estimate!!Total:!!7th grade,Margin of Error!!Total:!!7th grade,Estimate!!Total:!!8th grade,Margin of Error!!Total:!!8th grade,Estimate!!Total:!!9th grade,Margin of Error!!Total:!!9th grade,Estimate!!Total:!!10th grade,Margin of Error!!Total:!!10th grade,Estimate!!Total:!!11th grade,Margin of Error!!Total:!!11th grade,"Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma",Estimate!!Total:!!Regular high school diploma,Margin of Error!!Total:!!Regular high school diploma,Estimate!!Total:!!GED or alternative credential,Margin of Error!!Total:!!GED or alternative credential,"Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Associate's degree,Margin of Error!!Total:!!Associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Master's degree,Margin of Error!!Total:!!Master's degree,Estimate!!Total:!!Professional school degree,Margin of Error!!Total:!!Professional school degree,Estimate!!Total:!!Doctorate degree,Margin of Error!!Total:!!Doctorate degree,,022
0100000US,United States,226600992,11240,3965785,26988,56844,2118,59090,2140,113258,3283,229132,6176,488062,9439,359673,7260,564969,10391,2056404,28654,711589,11746,2137975,25887,2760915,33594,3159280,33002,3635598,38108,4301124,26701,50818442,243312,8923383,28521,14429395,90120,30262995,114988,19815732,48186,47391673,175843,21693046,135801,5119987,34220,3546641,31064,,022
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,017
0100000US,United States,216271644,15647,3121238,28966,39751,1596,46579,1587,133764,3466,292749,6004,620670,9992,476892,8753,681373,9407,2622794,31889,950430,12017,2773314,26024,3394121,33207,3936071,31698,4467173,38533,3880195,31342,50496716,226019,8596896,26536,13442760,103690,31493074,112153,17917481,47238,41377068,151706,18154808,114880,4393328,30861,2962399,23063,,017
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,018
0100000US,United States,218446071,16291,3161132,31676,42859,1459,47837,1736,131424,3500,280013,5783,601535,9529,460116,7787,671365,10786,2543691,32159,913555,11912,2668048,26306,3321264,35934,3838673,35689,4354484,40271,3912061,32683,50616582,229293,8648726,27785,13594943,104429,31432389,110706,18338323,52953,42470927,154580,18810511,118279,4538402,31887,3047211,25436,,018
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!No schooling completed,Margin of Error!!Total!!No schooling completed,Estimate!!Total!!Nursery school,Margin of Error!!Total!!Nursery school,Estimate!!Total!!Kindergarten,Margin of Error!!Total!!Kindergarten,Estimate!!Total!!1st grade,Margin of Error!!Total!!1st grade,Estimate!!Total!!2nd grade,Margin of Error!!Total!!2nd grade,Estimate!!Total!!3rd grade,Margin of Error!!Total!!3rd grade,Estimate!!Total!!4th grade,Margin of Error!!Total!!4th grade,Estimate!!Total!!5th grade,Margin of Error!!Total!!5th grade,Estimate!!Total!!6th grade,Margin of Error!!Total!!6th grade,Estimate!!Total!!7th grade,Margin of Error!!Total!!7th grade,Estimate!!Total!!8th grade,Margin of Error!!Total!!8th grade,Estimate!!Total!!9th grade,Margin of Error!!Total!!9th grade,Estimate!!Total!!10th grade,Margin of Error!!Total!!10th grade,Estimate!!Total!!11th grade,Margin of Error!!Total!!11th grade,"Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma",Estimate!!Total!!Regular high school diploma,Margin of Error!!Total!!Regular high school diploma,Estimate!!Total!!GED or alternative credential,Margin of Error!!Total!!GED or alternative credential,"Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree",Estimate!!Total!!Associate's degree,Margin of Error!!Total!!Associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Master's degree,Margin of Error!!Total!!Master's degree,Estimate!!Total!!Professional school degree,Margin of Error!!Total!!Professional school degree,Estimate!!Total!!Doctorate degree,Margin of Error!!Total!!Doctorate degree,,016
0100000US,United States,213649147,15761,3042019,29431,35164,1322,44216,1473,136695,3564,304108,6164,631527,9809,490720,7305,697431,9499,2674653,28751,987357,11772,2870023,25523,3444953,30177,4043744,31610,4584550,37906,3831220,28893,50290291,200238,8530120,27048,13349169,94605,31423676,105818,17469724,41879,40189920,142140,17450194,106455,4264966,29785,2862707,21365,,016
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!No schooling completed,Margin of Error!!Total:!!No schooling completed,Estimate!!Total:!!Nursery school,Margin of Error!!Total:!!Nursery school,Estimate!!Total:!!Kindergarten,Margin of Error!!Total:!!Kindergarten,Estimate!!Total:!!1st grade,Margin of Error!!Total:!!1st grade,Estimate!!Total:!!2nd grade,Margin of Error!!Total:!!2nd grade,Estimate!!Total:!!3rd grade,Margin of Error!!Total:!!3rd grade,Estimate!!Total:!!4th grade,Margin of Error!!Total:!!4th grade,Estimate!!Total:!!5th grade,Margin of Error!!Total:!!5th grade,Estimate!!Total:!!6th grade,Margin of Error!!Total:!!6th grade,Estimate!!Total:!!7th grade,Margin of Error!!Total:!!7th grade,Estimate!!Total:!!8th grade,Margin of Error!!Total:!!8th grade,Estimate!!Total:!!9th grade,Margin of Error!!Total:!!9th grade,Estimate!!Total:!!10th grade,Margin of Error!!Total:!!10th grade,Estimate!!Total:!!11th grade,Margin of Error!!Total:!!11th grade,"Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma",Estimate!!Total:!!Regular high school diploma,Margin of Error!!Total:!!Regular high school diploma,Estimate!!Total:!!GED or alternative credential,Margin of Error!!Total:!!GED or alternative credential,"Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Associate's degree,Margin of Error!!Total:!!Associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Master's degree,Margin of Error!!Total:!!Master's degree,Estimate!!Total:!!Professional school degree,Margin of Error!!Total:!!Professional school degree,Estimate!!Total:!!Doctorate degree,Margin of Error!!Total:!!Doctorate degree,,019
0100000US,United States,220622076,17615,3207385,35675,45255,1639,49948,1699,129453,3778,270970,6016,581732,10271,442064,8105,648147,10658,2477446,34099,875757,12640,2556133,26967,3253918,37746,3724846,35605,4232307,40605,3976900,34085,50745827,249893,8726921,28176,13721144,112593,31323554,113993,18712207,48621,43646104,167232,19454174,123775,4681075,33791,3138809,27166,,019
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!No schooling completed,Margin of Error!!Total:!!No schooling completed,Estimate!!Total:!!Nursery school,Margin of Error!!Total:!!Nursery school,Estimate!!Total:!!Kindergarten,Margin of Error!!Total:!!Kindergarten,Estimate!!Total:!!1st grade,Margin of Error!!Total:!!1st grade,Estimate!!Total:!!2nd grade,Margin of Error!!Total:!!2nd grade,Estimate!!Total:!!3rd grade,Margin of Error!!Total:!!3rd grade,Estimate!!Total:!!4th grade,Margin of Error!!Total:!!4th grade,Estimate!!Total:!!5th grade,Margin of Error!!Total:!!5th grade,Estimate!!Total:!!6th grade,Margin of Error!!Total:!!6th grade,Estimate!!Total:!!7th grade,Margin of Error!!Total:!!7th grade,Estimate!!Total:!!8th grade,Margin of Error!!Total:!!8th grade,Estimate!!Total:!!9th grade,Margin of Error!!Total:!!9th grade,Estimate!!Total:!!10th grade,Margin of Error!!Total:!!10th grade,Estimate!!Total:!!11th grade,Margin of Error!!Total:!!11th grade,"Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma",Estimate!!Total:!!Regular high school diploma,Margin of Error!!Total:!!Regular high school diploma,Estimate!!Total:!!GED or alternative credential,Margin of Error!!Total:!!GED or alternative credential,"Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Associate's degree,Margin of Error!!Total:!!Associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Master's degree,Margin of Error!!Total:!!Master's degree,Estimate!!Total:!!Professional school degree,Margin of Error!!Total:!!Professional school degree,Estimate!!Total:!!Doctorate degree,Margin of Error!!Total:!!Doctorate degree,,023
0100000US,United States,228434661,11047,4236697,29101,58828,2119,62099,2161,108907,3273,223717,5531,463537,9567,341600,6616,539687,10202,1991980,29708,672461,11578,2032876,27200,2639946,35509,2998823,32181,3468197,39204,4390862,26586,50834792,253961,9001697,28521,14571311,85718,29783085,111788,20059257,45145,48591540,191458,22436592,148068,5226273,36858,3699897,34282,,023
